2283	filament_flow_ratio	coFloats
2295	print_flow_ratio	coFloat
2308	enable_pressure_advance	coBools
2313	pressure_advance	coFloats
2321	adaptive_pressure_advance	coBools
2337	adaptive_pressure_advance_model	coStrings
2362	adaptive_pressure_advance_overhangs	coBools
2370	adaptive_pressure_advance_bridges	coFloats
2379	line_width	coFloatOrPercent
2391	reduce_fan_stop_start_freq	coBools
2396	dont_slow_down_outer_wall	coBools
2405	fan_cooling_layer_time	coFloats
2414	default_filament_colour	coStrings
2422	filament_colour	coStrings
2430	filament_notes	coStrings
2440	filament_multi_colour	coStrings
2444	filament_colour_type	coStrings
2456	filament_map	coInts
2462	physical_extruder_map	coInts
2469	filament_map_mode	coEnum
2485	enable_filament_dynamic_map	coBool
2491	has_filament_switcher	coBool
2497	filament_flush_temp	coInts
2507	filament_flush_volumetric_speed	coFloats
2517	filament_max_volumetric_speed	coFloats
2525	machine_load_filament_time	coFloat
2534	machine_unload_filament_time	coFloat
2543	machine_tool_change_time	coFloat
2553	support_object_skip_flush	coBool
2556	bed_temperature_formula	coEnum
2567	nozzle_flush_dataset	coInts
2571	filament_diameter	coFloats
2604	pellet_flow_coefficient	coFloats
2610	filament_adaptive_volumetric_speed	coBools
2620	volumetric_speed_coefficients	coStrings
2624	filament_shrink	coPercents
2637	filament_shrinkage_compensation_z	coPercents
2649	filament_adhesiveness_category	coInts
2656	filament_loading_speed	coFloats
2664	filament_loading_speed_start	coFloats
2672	filament_unloading_speed	coFloats
2680	filament_unloading_speed_start	coFloats
2688	filament_toolchange_delay	coFloats
2698	filament_cooling_moves	coInts
2707	filament_stamping_loading_speed	coFloats
2714	filament_stamping_distance	coFloats
2722	filament_cooling_initial_speed	coFloats
2730	filament_minimal_purge_on_wipe_tower	coFloats
2741	filament_cooling_before_tower	coFloats
2749	filament_tower_interface_pre_extrusion_dist	coFloats
2757	filament_tower_interface_pre_extrusion_length	coFloats
2765	filament_tower_ironing_area	coFloats
2773	filament_tower_interface_purge_volume	coFloats
2781	filament_tower_interface_print_temp	coInts
2789	filament_cooling_final_speed	coFloats
2797	filament_ramming_parameters	coStrings
2804	filament_multitool_ramming	coBools
2812	filament_multitool_ramming_volume	coFloats
2820	filament_multitool_ramming_flow	coFloats
2828	filament_density	coFloats
2836	filament_type	coStrings
2850	filament_soluble	coBools
2856	filament_change_length	coFloats
2864	filament_is_support	coBools
2874	filament_printable	coInts
2881	temperature_vitrification	coInts
2888	filament_cost	coFloats
2896	filament_settings_id	coStrings
2901	filament_ids	coStrings
2905	filament_vendor	coStrings
2912	infill_direction	coFloat
2922	solid_infill_direction	coFloat
2932	sparse_infill_density	coPercent
2942	align_infill_direction_to_model	coBool
2950	extra_solid_infills	coString
2959	fill_multiline	coInt
2971	gyroid_optimized	coBool
2980	sparse_infill_pattern	coEnum
3039	lateral_lattice_angle_1	coFloat
3049	lateral_lattice_angle_2	coFloat
3059	infill_overhang_angle	coFloat
3069	lightning_overhang_angle	coFloat
3079	lightning_prune_angle	coFloat
3090	lightning_straightening_angle	coFloat
3100	infill_anchor	coFloatOrPercent
3128	infill_anchor_max	coFloatOrPercent
3151	inner_wall_acceleration	coFloat
3160	travel_acceleration	coFloat
3169	top_surface_acceleration	coFloat
3178	outer_wall_acceleration	coFloat
3187	bridge_acceleration	coFloatOrPercent
3197	sparse_infill_acceleration	coFloatOrPercent
3207	internal_solid_infill_acceleration	coFloatOrPercent
3217	initial_layer_acceleration	coFloat
3226	initial_layer_travel_acceleration	coFloatOrPercent
3235	accel_to_decel_enable	coBool
3242	accel_to_decel_factor	coPercent
3252	default_jerk	coFloat
3261	default_junction_deviation	coFloat
3271	outer_wall_jerk	coFloat
3280	inner_wall_jerk	coFloat
3289	top_surface_jerk	coFloat
3298	infill_jerk	coFloat
3307	initial_layer_jerk	coFloat
3316	travel_jerk	coFloat
3325	initial_layer_travel_jerk	coFloatOrPercent
3334	initial_layer_line_width	coFloatOrPercent
3347	initial_layer_print_height	coFloat
3355	adaptive_layer_height	coBool
3363	initial_layer_speed	coFloat
3371	initial_layer_infill_speed	coFloat
3379	initial_layer_travel_speed	coFloatOrPercent
3389	slow_down_layers	coInt
3399	nozzle_temperature_initial_layer	coInts
3408	full_fan_speed_layer	coInts
3420	support_material_interface_fan_speed	coInts
